date,dly_rtn,stocknews_sentiment,vader_sentiment,textblob_lemmatized_sentiments,textblob_stemmed_sentiments
3/6/19,-0.001084834,0,0.9726,0.069363636,0.041565657
3/7/19,0.001267014,0.5,0.9827,0.063080941,0.069304334
3/8/19,0.027296721,1,0.9928,0.056798246,0.097043011
3/11/19,0.023861477,-1,-0.9235,0.063291553,0.087270022
3/12/19,-0.025986526,-1,-0.9229,0.022327036,-0.032525253
3/13/19,0.019762846,1,-0.5849,0.078589015,0.04209433
3/14/19,0.003460687,0,0.8966,0.098878394,0.096738319
3/15/19,-0.05011036,-1,0.09405,-0.017857693,0.028441558
3/18/19,-0.021566278,1,0.9823,0.088504228,0.060499553
3/19/19,-0.00749564,1,0.9846,0.125691508,0.069012403
3/20/19,0.022918458,1,0.9846,0.125691508,0.069012403
3/21/19,0.001535088,1,0.9846,0.125691508,0.069012403
3/22/19,-0.034632509,1,0.9846,0.125691508,0.069012403
3/25/19,-0.01553699,1,0.9846,0.125691508,0.069012403
3/26/19,0.028223639,1,0.9846,0.125691508,0.069012403
3/27/19,0.026365911,1,0.9846,0.125691508,0.069012403
3/28/19,0.013790343,1,0.9846,0.125691508,0.069012403
3/29/19,0.004450506,1,0.9846,0.125691508,0.069012403
4/1/19,0.033302365,1,0.9869,0.162878788,0.077525253
4/2/19,-0.011411578,-0.5,0.29655,0.003816909,-0.045434297
4/3/19,0.020742969,1,0.9826,0.137535511,0.060700758
4/4/19,-0.082348103,-0.333333333,-0.068883333,0.050350897,0.080044294
4/5/19,0.026813055,-0.166666667,0.446908333,0.046393801,0.042529001
4/8/19,-0.006400931,0,0.9627,0.042436705,0.005013709
4/9/19,-0.003257687,-1,0.9913,0.038211382,0.022395833
4/10/19,0.01377107,0,0.99385,0.157032828,0.120418907
4/11/19,-0.027675143,-0.666666667,0.5188,0.041139365,0.050651143
4/12/19,-0.002682363,0.166666667,0.7553,0.073816436,0.045954942
4/15/19,-0.004930893,0.166666667,0.7553,0.073816436,0.045954942
4/16/19,0.026203168,1,0.9918,0.106493506,0.041258741
4/17/19,-0.007791923,-0.5,0.99515,0.112079222,0.055956741
4/18/19,0.007484423,0,0.8332,0.076145602,0.113666667
4/22/19,-0.038461538,0.5,0.8447,0.135710986,0.128846674
4/23/19,0.004376784,0.5,0.96545,0.077834038,0.100904514
4/24/19,-0.019856006,-0.666666667,0.964866667,0.167765095,0.177910024
4/25/19,-0.042642852,-1,0.9929,0.000961104,-0.013566218
4/26/19,-0.050438154,-0.333333333,0.359733333,-0.010100371,-0.005823582
4/29/19,0.026920133,1,0.9748,0.156585334,0.105687229
