,news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
0,https://feedproxy.google.com/~r/typepad/RyNm/~3/TTGo7QzUjYM/,https://cdn.snapi.dev/images/v1/t/s/ts6-7.jpg,4 Top Jefferies Growth Stock Calls: Tesla,"This has been one of the most volatile stocks, and talked about companies, over the past two years, and Jefferies remains positive on the shares.",24/7 Wall Street,"Wed, 10 Apr 2019 07:05:43 -0400",[],Positive,Article,['TSLA']
1,https://feeds.marketwatch.com/~r/marketwatch/internet/~3/hcC1RFvuR8E/story.asp,https://cdn.snapi.dev/images/v1/t/s/ts6-6.jpg,"The Ratings Game: Tesla is like Apple and Salesforce, but don’t buy the stock right now, analyst says",Instinet initiated coverage of Tesla Inc. on Tuesday by describing the electric-car company as the Salesforce.com Inc.,Market Watch,"Tue, 09 Apr 2019 17:44:58 -0400",[],Negative,Article,['TSLA']
2,https://seekingalpha.com/article/4253623-teslas-rough-ride-first-quarter?source=feed_tag_long_ideas,https://cdn.snapi.dev/images/v1/t/s/ts2-6.jpg,Tesla's Rough Ride In The First Quarter,"Tesla reported disappointing deliveries, down by around 17% from analysts' forecasts.",Seeking Alpha,"Tue, 09 Apr 2019 16:28:30 -0400",[],Negative,Article,['TSLA']
3,https://www.youtube.com/watch?v=LGW0ytwUd0Y,https://cdn.snapi.dev/images/v1/m/q-2/delays-at-that-southern-border-could-have-serious-implications-for-the-auto-industry.jpg,Delays at that southern border could have serious implications for the auto industry,Tension at the U.S.-Mexico border is beginning to impact parts of the American business community.,CNBC Television,"Tue, 09 Apr 2019 09:09:30 -0400",[],Negative,Video,"['F', 'FCAU', 'GM', 'TM', 'TSLA']"
4,https://www.zacks.com/stock/news/373195/tesla-tsla-opts-for-another-round-of-sales-job-reduction,https://cdn.snapi.dev/images/v1/1/0/108.jpg,Tesla Opts for Another Round of Sales Job Reduction,Tesla's decision to cut sales jobs is in sync with its plan to lower staff as part of the retail retrenchment strategy adopted in February 2019.,Zacks Investment Research,"Tue, 09 Apr 2019 09:00:00 -0400",[],Negative,Article,['TSLA']
5,https://seekingalpha.com/article/4253427-last-call-bell-toll-tesla?source=feed,https://cdn.snapi.dev/images/v1/1/0/105833509-gettyimages-1006810956600x337-2.jpg,Is The Last Call Bell About To Toll For Tesla?,Terrible first-quarter deliveries data was reported.,Seeking Alpha,"Tue, 09 Apr 2019 07:00:00 -0400",[],Negative,Article,['TSLA']
6,https://www.youtube.com/watch?v=iTR4F7x5H1s,https://cdn.snapi.dev/images/v1/m/q-2/tesla-dismisses-sales-employees-as-part-of-earlier-announced-cuts.jpg,Tesla dismisses sales employees as part of earlier-announced cuts,Tesla will eliminate a number of employees as the company moves to increase online sales. CNBC's Phil LeBeau reports.,CNBC Television,"Mon, 08 Apr 2019 16:28:58 -0400",[],Negative,Video,['TSLA']
7,https://feedproxy.google.com/~r/BusinessRss/~3/IkRuYFjDwz8/,https://cdn.snapi.dev/images/v1/t/e/te23-3.jpg,Tesla Stock Falls As Analysts Pile On After Missing Delivery Estimates,"Three Wall Street analysts cut their outlook on Tesla Monday, following the electric car company's first-quarter report on electric-vehicle deliveries reported last week that missed views.",Investors Business Daily,"Mon, 08 Apr 2019 13:26:40 -0400",[],Negative,Article,['TSLA']
8,https://feeds.benzinga.com/~r/benzinga/~3/_3CZ6_X2oVY/needham-tesla-nearing-the-end-of-its-growth-spurt,https://cdn.snapi.dev/images/v1/u/t/ut7-2.jpg,Needham: Tesla Nearing The End Of Its Growth Spurt,"Tesla Inc reported more than 200-percent revenue growth over the last three years — and still failed to turn a profit. During that time, bulls justified Tesla’s high market cap with remarkable sales growth, but one analyst says that growth is losing steam.",Benzinga,"Mon, 08 Apr 2019 11:58:36 -0400",[],Negative,Article,['TSLA']
9,https://seekingalpha.com/article/4253317-tesla-35000-ghost?source=feed,https://cdn.snapi.dev/images/v1/t/s/ts6-5.jpg,"Tesla: The $35,000 Ghost",So much for March delivery of the base version Model 3.,Seeking Alpha,"Mon, 08 Apr 2019 11:48:24 -0400",[],Negative,Article,['TSLA']
